                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75958,                 4.6793,                 1.1742,                0.43347,                      1,                 0.4975,                0.38556,                0.59768,                 3.3339,                 1.2322,                      0,                      0,                      0
                      2,                0.69569,                  4.793,                 1.0592,                0.46284,                      1,                 0.4975,                0.29442,                0.59719,                  3.408,                 1.2315,              1.601e-05,              1.601e-05,              1.601e-05
                      3,                0.76438,                 5.7433,                 1.1869,                0.34842,                    0.5,                 0.4975,                 0.3358,                0.59971,                 3.4425,                 1.2419,             3.0699e-05,             3.0699e-05,             3.0699e-05
                      4,                 0.6454,                 3.9315,                 1.0592,                0.36196,                    0.5,                 0.4975,                0.34575,                0.62785,                 3.4929,                 1.2643,             4.4069e-05,             4.4069e-05,             4.4069e-05
                      5,                0.74845,                 5.0304,                 1.2161,                0.39146,                    0.5,                 0.4475,                0.32333,                0.62349,                  3.497,                 1.2675,             5.6118e-05,             5.6118e-05,             5.6118e-05
                      6,                  0.729,                 4.4456,                 1.1987,                0.41166,                    0.5,                  0.695,                0.39758,                0.59763,                 3.5258,                 1.2735,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      7,                 1.3097,                 5.8468,                 1.6029,                0.42528,                    0.5,                  0.695,                0.41746,                0.59545,                 3.5703,                 1.2711,             7.6255e-05,             7.6255e-05,             7.6255e-05
                      8,                0.73201,                 4.1495,                 1.1682,                0.86666,                      1,                  0.995,                0.82018,                0.20196,                 8.2603,                0.93229,             8.4344e-05,             8.4344e-05,             8.4344e-05
                      9,                0.50877,                 2.7237,                0.98869,                0.97332,                      1,                  0.995,                0.94506,                0.25686,                 2.7592,                0.90779,             9.1112e-05,             9.1112e-05,             9.1112e-05
                     10,                0.22904,                 1.4882,                0.95545,                0.97379,                      1,                  0.995,                0.94506,                0.25125,                 2.4812,                0.86282,             9.6559e-05,             9.6559e-05,             9.6559e-05
                     11,                 0.2782,                 1.8695,                0.97265,                0.96222,                      1,                  0.995,                0.94505,                0.27838,                 3.0681,                0.84438,             0.00010069,             0.00010069,             0.00010069
                     12,                0.22742,                 1.6897,                  0.945,                0.96601,                      1,                  0.995,                0.94505,                0.30811,                 3.9408,                0.82817,             0.00010349,             0.00010349,             0.00010349
                     13,                0.18508,                 1.1971,                0.89854,                0.98172,                      1,                  0.995,                  0.995,                0.32045,                 4.2649,                0.82718,             0.00010498,             0.00010498,             0.00010498
                     14,                0.28757,                   1.02,                0.91496,                0.98173,                      1,                  0.995,                  0.995,                0.28642,                 3.8304,                 0.8115,             0.00010515,             0.00010515,             0.00010515
                     15,                0.20192,                0.91077,                0.90663,                0.97989,                      1,                  0.995,                  0.995,                0.29294,                 2.8899,                0.79993,             0.00010399,             0.00010399,             0.00010399
                     16,                0.26704,                 1.7638,                0.80757,                0.97662,                      1,                  0.995,                 0.9203,                 0.2599,                 2.7443,                0.78089,             0.00010152,             0.00010152,             0.00010152
                     17,                 0.1687,                 1.6609,                 0.7519,                0.98469,                      1,                  0.995,                 0.9203,                0.35703,                 2.6403,                0.87013,             9.7726e-05,             9.7726e-05,             9.7726e-05
                     18,                0.21216,                 1.5753,                0.80695,                0.98469,                      1,                  0.995,                 0.9203,                0.35703,                 2.6403,                0.87013,             9.2612e-05,             9.2612e-05,             9.2612e-05
                     19,                0.27555,                 1.8514,                0.94718,                0.98632,                      1,                  0.995,                 0.9203,                0.40351,                 2.5937,                0.89235,             8.6177e-05,             8.6177e-05,             8.6177e-05
                     20,                0.25647,                 1.6236,                0.88766,                0.98632,                      1,                  0.995,                 0.9203,                0.40351,                 2.5937,                0.89235,             7.8422e-05,             7.8422e-05,             7.8422e-05
                     21,                0.19571,                 1.6093,                0.73951,                0.98026,                      1,                  0.995,                  0.995,                0.32318,                 1.9596,                0.81022,             6.9347e-05,             6.9347e-05,             6.9347e-05
                     22,                0.22775,                 1.5311,                 0.7663,                0.98026,                      1,                  0.995,                  0.995,                0.32318,                 1.9596,                0.81022,             5.8952e-05,             5.8952e-05,             5.8952e-05
                     23,                0.23567,                 1.5266,                0.85573,                0.97952,                      1,                  0.995,                  0.995,                0.27191,                 1.8008,                0.79055,             4.7236e-05,             4.7236e-05,             4.7236e-05
                     24,                0.17576,                 1.3136,                0.82154,                0.97952,                      1,                  0.995,                  0.995,                0.27191,                 1.8008,                0.79055,               3.42e-05,               3.42e-05,               3.42e-05
                     25,                0.19894,                 1.4895,                0.82865,                      1,                      1,                  0.995,                  0.995,                0.25025,                  1.686,                 0.7774,             1.9844e-05,             1.9844e-05,             1.9844e-05
