                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47572,                0.91112,                 0.9734,                0.96942,                      1,                  0.995,                0.71435,                0.43091,                 2.0857,                 0.9422,                      0,                      0,                      0
                      2,                 0.5406,                0.82867,                0.88835,                0.96653,                      1,                  0.995,                0.71265,                0.41559,                 2.0822,                0.93874,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                0.60652,                0.88759,                0.92768,                0.96425,                      1,                  0.995,                0.71122,                0.44032,                 2.0693,                0.98483,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.36642,                0.79276,                0.87982,                0.91593,                      1,                  0.995,                0.65264,                0.53312,                 2.4074,                 1.0996,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.30935,                0.62356,                0.90316,                0.86165,                      1,                  0.995,                0.65282,                 1.0322,                 2.4684,                 1.6573,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.26351,                 0.5291,                0.83463,                0.99096,                      1,                  0.995,                  0.815,                0.50218,                 1.5912,                 1.0613,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.47382,                0.63509,                 1.0532,                0.97651,                      1,                  0.995,                  0.995,                 0.2654,                0.74807,                   0.76,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.44784,                0.73709,                 0.9775,                0.97697,                      1,                  0.995,                  0.995,                0.29503,                 0.7022,                0.76437,              0.0001086,              0.0001086,              0.0001086
                      9,                 0.4547,                0.77943,                0.88187,                0.97519,                      1,                  0.995,                  0.995,                0.28928,                 0.6956,                0.76098,              0.0001228,              0.0001228,              0.0001228
                     10,                0.28953,                 0.4603,                0.90256,                0.96357,                      1,                  0.995,                0.94505,                0.33547,                0.69443,                0.80835,             0.00013666,             0.00013666,             0.00013666
                     11,                0.29302,                0.46353,                0.92833,                0.96056,                      1,                  0.995,                0.94505,                0.39331,                0.86015,                0.89726,              0.0001502,              0.0001502,              0.0001502
                     12,                0.38085,                0.55296,                0.94856,                0.97153,                      1,                  0.995,                0.89512,                0.38564,                 1.4759,                0.85821,              0.0001634,              0.0001634,              0.0001634
                     13,                0.37319,                 0.4256,                0.91244,                0.95964,                      1,                  0.995,                0.94506,                0.36183,                 1.2409,                0.85425,             0.00017628,             0.00017628,             0.00017628
                     14,                0.38969,                 0.4108,                0.93009,                0.93085,                      1,                  0.995,                  0.995,                0.36396,                 1.0866,                 0.8864,             0.00018882,             0.00018882,             0.00018882
                     15,                0.27348,                0.46902,                0.92071,                0.98069,                      1,                  0.995,                0.92031,                0.29288,                0.74025,                0.78082,             0.00020103,             0.00020103,             0.00020103
                     16,                0.44901,                0.52731,                0.97104,                0.98042,                      1,                  0.995,                  0.995,                0.27906,                0.68797,                0.74699,             0.00021292,             0.00021292,             0.00021292
                     17,                 0.4809,                0.54637,                0.90349,                0.96706,                      1,                  0.995,                  0.995,                0.29031,                0.91348,                0.73498,             0.00022447,             0.00022447,             0.00022447
