                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6203,                 5.4747,                 1.3984,                      0,                      0,                      0,                      0,                 1.9734,                 4.5384,                  1.182,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.4639,                 5.2302,                  1.273,                      0,                      0,                      0,                      0,                 1.9894,                 4.5386,                 1.1868,               0.097299,             0.00029851,             0.00029851
                      2,                 2.5091,                 5.4717,                 1.2981,                      0,                      0,                      0,                      0,                 1.9951,                 4.5352,                 1.1845,               0.095495,             0.00049505,             0.00049505
                      3,                 2.6467,                 5.4881,                  1.304,                      0,                      0,                      0,                      0,                 1.6172,                 4.4733,                 1.0848,                0.09369,              0.0006896,              0.0006896
                      4,                 2.0369,                 5.1836,                 1.1717,                      0,                      0,                      0,                      0,                 1.6731,                 4.4924,                 1.0444,               0.091882,             0.00088218,             0.00088218
                      5,                 1.9568,                 5.2777,                 1.0919,                      0,                      0,                      0,                      0,                 1.7146,                 4.4634,                0.99412,               0.090073,              0.0010728,              0.0010728
                      6,                 1.6957,                 5.0503,                 1.0169,                      0,                      0,                      0,                      0,                 1.8193,                 4.4952,                 1.0055,               0.088261,              0.0012614,              0.0012614
                      7,                 1.6735,                 4.7402,                0.99513,                      0,                      0,                      0,                      0,                 1.6214,                 4.3954,                0.95502,               0.086448,               0.001448,               0.001448
                      8,                 1.6071,                 4.5569,                0.96797,                      0,                      0,                      0,                      0,                 1.5678,                 4.3423,                 0.9355,               0.084633,              0.0016327,              0.0016327
                      9,                 1.4561,                 4.7174,                0.89632,                      0,                      0,                      0,                      0,                 1.5553,                 4.3491,                0.92945,               0.082815,              0.0018154,              0.0018154
                     10,                 1.4744,                 4.1385,                0.90658,                      0,                      0,                      0,                      0,                 1.5208,                 4.3006,                 0.9227,               0.080996,               0.001996,               0.001996
                     11,                 1.4396,                 3.9835,                0.88533,                      0,                      0,                      0,                      0,                 1.5751,                 4.2463,                0.92273,               0.079175,              0.0021748,              0.0021748
                     12,                 1.5165,                 3.8115,                 1.0712,                      0,                      0,                      0,                      0,                 1.4628,                 4.1588,                0.91445,               0.077352,              0.0023515,              0.0023515
                     13,                 1.4818,                 3.9356,                  1.013,                      0,                      0,                      0,                      0,                 1.4252,                 4.1596,                0.93274,               0.075526,              0.0025263,              0.0025263
                     14,                 1.3748,                 3.4598,                0.89246,                      0,                      0,                      0,                      0,                 1.4746,                  4.017,                0.91935,               0.073699,               0.002699,               0.002699
                     15,                 1.5208,                 3.2904,                0.94419,                0.00039,                0.02222,                0.00043,                0.00017,                 1.4337,                 4.0157,                 0.9217,                0.07187,              0.0028698,              0.0028698
                     16,                 1.7111,                 3.2942,                0.94646,                0.00224,                0.13333,                0.10212,                0.04573,                 1.4819,                 3.8977,                0.91883,               0.070039,              0.0030386,              0.0030386
                     17,                 1.4967,                 3.1867,                 0.9381,                0.00038,                0.02222,                0.02185,                0.01092,                 1.4122,                 3.9048,                0.92981,               0.068205,              0.0032055,              0.0032055
                     18,                 1.4503,                 3.0736,                0.99435,                0.00038,                0.02222,                0.02185,                0.01092,                 1.2262,                 3.9365,                0.91515,                0.06637,              0.0033703,              0.0033703
                     19,                 1.5839,                 3.2174,                0.96364,                0.00038,                0.02222,                0.02185,                0.01092,                 1.1614,                 3.9285,                0.89806,               0.064533,              0.0035332,              0.0035332
                     20,                 1.6224,                 3.0412,                0.93328,                0.00216,                0.13333,                0.11899,                0.08433,                 1.3341,                 3.7923,                0.91249,               0.062694,              0.0036941,              0.0036941
                     21,                 1.6287,                 2.8247,                0.91851,                0.00312,                0.21481,                0.13439,                0.09527,                 1.2399,                 3.6789,                0.89497,               0.060853,               0.003853,               0.003853
                     22,                 1.5696,                 2.7071,                 1.0065,                0.00175,                0.11111,                0.11225,                0.07705,                 1.1724,                 3.7407,                0.89382,                0.05901,              0.0040099,              0.0040099
                     23,                 1.5324,                 2.9986,                0.88607,                0.00144,                0.08889,                0.06571,                 0.0482,                 1.0431,                  3.746,                0.88241,               0.057165,              0.0041649,              0.0041649
                     24,                 1.7145,                   3.17,                 1.0069,                0.00409,                0.27407,                0.17123,                 0.1038,                 1.2735,                 3.6947,                0.90415,               0.055318,              0.0043179,              0.0043179
                     25,                 1.5245,                  2.969,                 1.0266,                0.00397,                0.27407,                0.13599,                0.09293,                 1.2005,                 3.6977,                0.87773,               0.053469,              0.0044689,              0.0044689
                     26,                 1.6734,                 2.8682,                0.95162,                0.00612,                0.42222,                0.24111,                0.15742,                 1.2986,                 3.6069,                0.92396,               0.051618,              0.0046179,              0.0046179
                     27,                 1.6316,                 2.7681,                 1.0115,                0.00612,                0.42222,                0.24111,                0.15742,                 1.2986,                 3.6069,                0.92396,               0.049765,              0.0047649,              0.0047649
                     28,                 1.4488,                 2.2203,                0.89512,                0.00494,                0.32593,                0.27933,                0.15901,                 1.4161,                 3.6161,                0.93578,                0.04791,                0.00491,                0.00491
                     29,                 1.6089,                 2.6242,                 1.0394,                0.00628,                0.46667,                0.29921,                0.20039,                   1.28,                 3.5316,                0.91416,               0.046053,              0.0050531,              0.0050531
                     30,                 1.5445,                 2.3085,                0.94936,                0.00628,                0.46667,                0.29921,                0.20039,                   1.28,                 3.5316,                0.91416,               0.044194,              0.0051941,              0.0051941
                     31,                 1.7983,                 2.4921,                0.95944,                 0.0088,                 0.6963,                 0.3758,                0.23427,                 1.4011,                 3.4797,                0.92346,               0.042333,              0.0053333,              0.0053333
                     32,                 1.7091,                 2.6868,                0.99512,                0.00989,                0.79259,                0.57049,                0.36501,                 1.3511,                 3.2861,                0.94798,                0.04047,              0.0054704,              0.0054704
                     33,                 1.5377,                  2.253,                0.91587,                0.00989,                0.79259,                0.57049,                0.36501,                 1.3511,                 3.2861,                0.94798,               0.038606,              0.0056056,              0.0056056
                     34,                 1.3926,                 2.0413,                0.89736,                0.00959,                0.77037,                 0.5377,                0.33415,                 1.4027,                 3.3901,                0.92553,               0.036739,              0.0057387,              0.0057387
                     35,                 1.5719,                 2.2605,                0.92037,                      1,                 0.1547,                0.41766,                0.27697,                 1.3484,                 3.3188,                0.92848,                0.03487,              0.0058699,              0.0058699
                     36,                 1.4108,                  2.415,                0.94303,                      1,                 0.1547,                0.41766,                0.27697,                 1.3484,                 3.3188,                0.92848,               0.032999,              0.0059991,              0.0059991
                     37,                 1.7118,                 2.4664,                0.96379,                0.01073,                0.86667,                0.64152,                0.36325,                 1.3762,                 3.2299,                0.92656,               0.031126,              0.0061264,              0.0061264
                     38,                 1.8648,                 2.2544,                 1.0123,                0.97126,                0.31441,                0.61573,                0.38268,                 1.3654,                 3.0209,                0.96876,               0.029252,              0.0062516,              0.0062516
                     39,                 1.5385,                 2.0658,                0.94285,                0.97126,                0.31441,                0.61573,                0.38268,                 1.3654,                 3.0209,                0.96876,               0.027375,              0.0063749,              0.0063749
                     40,                 1.4843,                 2.2338,                0.99141,                0.00966,                    0.8,                0.49627,                0.30274,                 1.3357,                 3.3683,                0.92535,               0.025496,              0.0064962,              0.0064962
                     41,                  1.538,                 2.3858,                 1.0208,                      1,                0.27293,                0.61678,                 0.3905,                  1.341,                 3.1133,                0.93593,               0.023616,              0.0066155,              0.0066155
                     42,                  1.488,                 2.1246,                0.92663,                      1,                0.27293,                0.61678,                 0.3905,                  1.341,                 3.1133,                0.93593,               0.021733,              0.0067329,              0.0067329
                     43,                 1.4423,                 1.9926,                0.93305,                 0.8935,                0.20954,                 0.6698,                  0.381,                 1.5611,                 3.0185,                0.98707,               0.019848,              0.0068482,              0.0068482
                     44,                 1.8104,                 2.2074,                 0.9999,                 0.8935,                0.20954,                 0.6698,                  0.381,                 1.5611,                 3.0185,                0.98707,               0.017962,              0.0069616,              0.0069616
                     45,                 1.8811,                 1.9591,                 1.0299,                0.99546,                0.29501,                0.57143,                0.34096,                 1.3262,                 3.1209,                0.94368,               0.016073,               0.007073,               0.007073
                     46,                 1.7419,                  2.044,                 1.0258,                0.99546,                0.29501,                0.57143,                0.34096,                 1.3262,                 3.1209,                0.94368,               0.014182,              0.0071824,              0.0071824
                     47,                 1.6335,                 1.9256,                0.92848,                0.77486,                0.61303,                 0.6756,                0.45811,                  1.346,                   3.02,                0.96481,                0.01229,              0.0072898,              0.0072898
                     48,                  1.605,                 2.0886,                0.94403,                0.77486,                0.61303,                 0.6756,                0.45811,                  1.346,                   3.02,                0.96481,               0.010395,              0.0073953,              0.0073953
                     49,                 1.5517,                 2.2399,                 1.0314,                      1,                0.23225,                0.58088,                0.30382,                  1.565,                 3.0113,                0.96141,              0.0084988,              0.0074988,              0.0074988
                     50,                 1.5585,                 2.2146,                 1.0156,                      1,                0.23225,                0.58088,                0.30382,                  1.565,                 3.0113,                0.96141,               0.007525,               0.007525,               0.007525
                     51,                 1.9699,                 2.4856,                 1.0849,                 0.8029,                0.56883,                 0.6701,                0.43213,                 1.4719,                 3.0805,                0.94376,               0.007525,               0.007525,               0.007525
                     52,                 1.5225,                  2.118,                0.94029,                 0.8029,                0.56883,                 0.6701,                0.43213,                 1.4719,                 3.0805,                0.94376,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5752,                 2.1918,                0.99495,                 0.9621,                0.32799,                0.75228,                0.43834,                 1.3778,                 2.5831,                0.93182,               0.007426,               0.007426,               0.007426
                     54,                 1.6076,                 1.8842,                 1.0248,                 0.9621,                0.32799,                0.75228,                0.43834,                 1.3778,                 2.5831,                0.93182,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.7352,                 1.8903,                0.90273,                0.96713,                0.38668,                  0.728,                0.44503,                 1.3812,                  2.635,                0.94253,               0.007327,               0.007327,               0.007327
                     56,                 1.6024,                  2.046,                0.97648,                0.96713,                0.38668,                  0.728,                0.44503,                 1.3812,                  2.635,                0.94253,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4902,                 1.7746,                0.96177,                0.89199,                0.58094,                0.71893,                0.46798,                 1.3471,                 2.2791,                0.94175,               0.007228,               0.007228,               0.007228
                     58,                 1.3244,                  1.773,                0.90669,                0.89199,                0.58094,                0.71893,                0.46798,                 1.3471,                 2.2791,                0.94175,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3815,                 1.7489,                0.91916,                0.85956,                0.37186,                0.73534,                0.47266,                 1.4113,                 2.7423,                  0.955,               0.007129,               0.007129,               0.007129
                     60,                 1.6418,                 2.1809,                0.93842,                0.85956,                0.37186,                0.73534,                0.47266,                 1.4113,                 2.7423,                  0.955,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.529,                 1.8659,                0.96513,                0.93842,                0.60526,                0.72174,                0.50715,                 1.2094,                 2.0838,                0.92792,                0.00703,                0.00703,                0.00703
                     62,                 1.3423,                  1.632,                0.90875,                0.93842,                0.60526,                0.72174,                0.50715,                 1.2094,                 2.0838,                0.92792,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4934,                 2.2046,                 1.1036,                0.92697,                0.54819,                0.78912,                0.50502,                 1.2838,                 2.2805,                0.90949,               0.006931,               0.006931,               0.006931
                     64,                 1.2823,                 1.9111,                0.93688,                0.92697,                0.54819,                0.78912,                0.50502,                 1.2838,                 2.2805,                0.90949,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4646,                 2.2228,                 1.0363,                0.85576,                0.67321,                0.80713,                0.48111,                 1.3407,                 1.9299,                0.94351,               0.006832,               0.006832,               0.006832
                     66,                 1.6827,                 1.8213,                0.94315,                0.85576,                0.67321,                0.80713,                0.48111,                 1.3407,                 1.9299,                0.94351,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4016,                 1.9611,                 0.9794,                0.89208,                0.76558,                0.86012,                0.53938,                 1.4318,                 1.8947,                0.98059,               0.006733,               0.006733,               0.006733
                     68,                 1.2963,                 1.5541,                0.90294,                0.89208,                0.76558,                0.86012,                0.53938,                 1.4318,                 1.8947,                0.98059,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.327,                 1.8069,                  1.003,                0.62902,                0.43704,                0.64578,                0.36048,                 1.5222,                 2.2653,                0.98162,               0.006634,               0.006634,               0.006634
                     70,                 1.3686,                 1.7448,                 1.0144,                0.62902,                0.43704,                0.64578,                0.36048,                 1.5222,                 2.2653,                0.98162,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4521,                  1.659,                0.92822,                0.59895,                0.74893,                0.71385,                0.46226,                 1.2989,                 1.7028,                0.94298,               0.006535,               0.006535,               0.006535
                     72,                  1.417,                 1.5329,                0.93876,                0.59895,                0.74893,                0.71385,                0.46226,                 1.2989,                 1.7028,                0.94298,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3051,                  1.784,                0.96129,                 0.6961,                 0.5925,                0.68429,                0.41847,                 1.4355,                 1.9429,                0.95885,               0.006436,               0.006436,               0.006436
                     74,                 1.6378,                 1.5728,                0.91949,                 0.6961,                 0.5925,                0.68429,                0.41847,                 1.4355,                 1.9429,                0.95885,              0.0063865,              0.0063865,              0.0063865
                     75,                  1.617,                 1.7431,                 1.0059,                0.83438,                0.58009,                0.69486,                 0.4972,                 1.1919,                 2.0961,                0.91892,               0.006337,               0.006337,               0.006337
                     76,                 1.3211,                 1.5271,                0.84527,                0.83438,                0.58009,                0.69486,                 0.4972,                 1.1919,                 2.0961,                0.91892,              0.0062875,              0.0062875,              0.0062875
