                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4228,                 6.7681,                 1.4036,                0.00073,                0.03704,                0.00207,                 0.0005,                 2.1439,                 5.5442,                 1.2267,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.2845,                 6.4365,                 1.3654,                 0.0007,                0.03704,                0.00223,                0.00051,                  2.145,                 5.5637,                 1.2252,               0.097299,             0.00029851,             0.00029851
                      2,                  2.296,                 6.9328,                  1.325,                0.00067,                0.03704,                0.00269,                0.00056,                 2.1526,                 5.5617,                  1.232,               0.095495,             0.00049505,             0.00049505
                      3,                 2.5132,                 6.9144,                 1.3517,                0.00067,                0.03704,                0.00324,                 0.0007,                 1.9713,                 5.3751,                 1.1812,                0.09369,              0.0006896,              0.0006896
                      4,                 2.1918,                 5.5871,                 1.3271,                0.00228,                0.14815,                0.00893,                0.00483,                 1.6373,                 4.5199,                 1.0816,               0.091882,             0.00088218,             0.00088218
                      5,                 1.9525,                 4.7351,                 1.1816,                0.33333,                0.11513,                0.20086,                0.12064,                 1.3469,                 3.5189,                0.98028,               0.090073,              0.0010728,              0.0010728
                      6,                 1.5678,                 3.6254,                 1.0299,                0.33838,                0.27589,                0.35187,                0.22315,                 1.2648,                 2.7887,                0.93566,               0.088261,              0.0012614,              0.0012614
                      7,                 1.3224,                 2.6136,                0.97479,                0.68984,                0.44259,                0.57284,                0.38365,                 1.2759,                 2.3657,                0.92763,               0.086448,               0.001448,               0.001448
                      8,                 1.2147,                 2.3571,                0.90707,                0.77215,                 0.5202,                0.62044,                0.41987,                 1.2102,                 2.0325,                0.92054,               0.084633,              0.0016327,              0.0016327
                      9,                 1.2057,                 2.6297,                0.87305,                 0.7092,                0.51328,                0.65041,                0.46254,                  1.098,                  2.044,                0.89824,               0.082815,              0.0018154,              0.0018154
                     10,                  1.033,                 1.8071,                0.85597,                 0.8395,                0.57635,                0.66698,                0.45504,                 1.1698,                 1.7011,                0.90475,               0.080996,               0.001996,               0.001996
                     11,                0.98561,                 1.6747,                0.84196,                0.69569,                0.59573,                0.68818,                0.50223,                 1.0604,                 1.7572,                0.90285,               0.079175,              0.0021748,              0.0021748
                     12,                 1.1044,                 1.8021,                 1.0019,                0.75697,                0.67366,                0.72039,                0.53584,                 1.0338,                 1.5262,                0.91114,               0.077352,              0.0023515,              0.0023515
                     13,                 0.9894,                 1.9448,                0.91748,                0.77766,                 0.6264,                0.81123,                0.59957,                 1.0478,                  1.505,                0.91115,               0.075526,              0.0025263,              0.0025263
                     14,                0.85646,                 1.4326,                0.84576,                0.57823,                0.79181,                0.78103,                0.59396,                 1.0353,                 1.4305,                0.90863,               0.073699,               0.002699,               0.002699
                     15,                0.94521,                  1.454,                0.87081,                0.79689,                0.69519,                0.81958,                0.63348,                0.92227,                 1.2719,                0.88567,                0.07187,              0.0028698,              0.0028698
                     16,                 1.0499,                 1.5438,                0.83352,                0.84917,                0.72344,                0.83235,                0.57308,                 1.0583,                 1.2978,                0.89678,               0.070039,              0.0030386,              0.0030386
                     17,                0.84032,                 1.4638,                0.83351,                 0.7798,                0.70996,                0.82465,                0.62727,                 0.9719,                 1.2905,                0.88971,               0.068205,              0.0032055,              0.0032055
                     18,                0.94776,                 1.4007,                 0.9185,                0.81941,                0.74363,                0.84829,                0.65508,                0.89522,                 1.1333,                0.87847,                0.06637,              0.0033703,              0.0033703
                     19,                 1.0015,                 1.3774,                0.91166,                0.75846,                0.77456,                0.86757,                0.66034,                0.93663,                 1.1533,                 0.8728,               0.064533,              0.0035332,              0.0035332
